MonitoringLocationIdentifier,lat,lon
21OHIO_WQX-200741,38.69362,-83.379246
21OHIO_WQX-303765,40.209986,-81.264014
21OHIO_WQX-611740,40.2361,-81.8717
21OHIO_WQX-303655,38.607917,-82.331291
21OHIO_WQX-303741,41.4336,-83.8163
21OHIO_WQX-R06W39,40.9956,-81.7631
21OHIO_WQX-303663,38.660882,-82.291173
21OHIO_WQX-W03W32,39.2756,-82.4144
21OHIO_WQX-303714,39.482327,-81.480396
21OHIO_WQX-W03S36,39.0703,-82.3028
21OHIO_WQX-W03S40,38.9958,-82.3356
21OHIO_WQX-303535,38.441953,-82.435806
21OHIO_WQX-X02W04,38.8514,-83.9125
21OHIO_WQX-303508,38.841216,-82.379927
21OHIO_WQX-W02S08,38.478383,-82.398175
21OHIO_WQX-501080,41.2767,-82.6219
21OHIO_WQX-201377,40.850796,-82.792609
21OHIO_WQX-R08S07,40.368199,-80.994854
21OHIO_WQX-P10W10,41.4139,-83.8519
21OHIO_WQX-V15P01,38.7394,-83.0025
21OHIO_WQX-W03K09,39.0094,-82.445
21OHIO_WQX-303629,40.4317,-81.085
21OHIO_WQX-300153,38.6903,-82.4792
21OHIO_WQX-303631,40.4901,-81.0717
21OHIO_WQX-501510,41.41148,-82.0952
21OHIO_WQX-303570,38.814879,-82.435175
21OHIO_WQX-301392,41.73924,-80.61969
21OHIO_WQX-300601,40.61981,-81.2529
21OHIO_WQX-303592,38.455391,-82.410299
21OHIO_WQX-204558,38.5389,-82.6917
21OHIO_WQX-W03S34,39.0478,-82.3764
21OHIO_WQX-W03W35,39.1303,-82.3586
21OHIO_WQX-W03K30,39.2511,-82.5036
21OHIO_WQX-303670,38.648961,-82.274609
21OHIO_WQX-M04S08,39.0525,-84.05
21OHIO_WQX-V13K02,39.3469,-82.9836
21OHIO_WQX-R06S18,41.01,-81.7692
21OHIO_WQX-R17W13,40.0145,-81.5871
21OHIO_WQX-303669,38.64525,-82.277825
21OHIO_WQX-K01W18,41.1047,-82.6692
21OHIO_WQX-303555,38.706281,-82.549588
21OHIO_WQX-303532,38.550463,-82.390336
21OHIO_WQX-303608,38.63935,-83.323008
21OHIO_WQX-H05S18,39.8083,-84.1511
21OHIO_WQX-P11P18,41.6094,-83.6842
21OHIO_WQX-303527,38.615817,-82.213702
21OHIO_WQX-302838,41.035556,-83.520156
21OHIO_WQX-303598,38.70225,-83.582236
21OHIO_WQX-600330,39.4814,-84.4428
21OHIO_WQX-W03W37,39.41678,-82.325388
21OHIO_WQX-K01W11,40.995,-82.6517
21OHIO_WQX-303593,38.457423,-82.404522
21OHIO_WQX-303534,38.557049,-82.470019
21OHIO_WQX-601530,39.565,-82.4747
21OHIO_WQX-P11W15,41.5825,-83.8611
21OHIO_WQX-W03K39,39.3086,-82.44
21OHIO_WQX-W03S10,39.0958,-82.5467
21OHIO_WQX-H09S13,39.6406,-84.2922
21OHIO_WQX-K01K16,41.1919,-82.6882
21OHIO_WQX-W02K04,38.547804,-82.380429
21OHIO_WQX-W02S06,38.881725,-82.576636
21OHIO_WQX-300742,38.847415,-82.235799
21OHIO_WQX-K01W31,41.39,-82.5533
21OHIO_WQX-303659,38.617444,-82.305414
21OHIO_WQX-K01P04,41.2281,-82.6425
21OHIO_WQX-W03W59,39.2678,-82.2903
21OHIO_WQX-303542,40.5133,-81.1129
21OHIO_WQX-303474,39.138611,-82.51687
21OHIO_WQX-B01S15,41.455,-82.1133
21OHIO_WQX-303757,38.96931,-83.257868
21OHIO_WQX-302949,38.806963,-83.665453
21OHIO_WQX-M05W53,39.1821,-84.2886
21OHIO_WQX-W03L08,39.1656,-82.4217
21OHIO_WQX-300154,38.7702,-82.3968
21OHIO_WQX-303594,38.488183,-82.388022
21OHIO_WQX-602300,41.0361,-80.5361
21OHIO_WQX-303584,38.939303,-82.52314
21OHIO_WQX-W03S44,38.9378,-82.3392
21OHIO_WQX-303575,38.841538,-82.497828
21OHIO_WQX-302519,39.302602,-82.32588
21OHIO_WQX-W03S48,39.0108,-82.4889
21OHIO_WQX-303646,40.5764,-81.1512
21OHIO_WQX-303609,38.73185,-83.189219
21OHIO_WQX-B01S24,41.4589,-82.1114
21OHIO_WQX-303029,38.897533,-82.191953
21OHIO_WQX-W03S19,38.835165,-82.214613
21OHIO_WQX-R04S03,40.4814,-81.9861
21OHIO_WQX-H09K11,39.6025,-84.2883
21OHIO_WQX-R08S04,40.3689,-81.0278
21OHIO_WQX-303586,38.690088,-82.205701
21OHIO_WQX-P01K02,40.7178,-84.6894
21OHIO_WQX-H11W20,39.2161,-84.7035
21OHIO_WQX-303630,40.4164,-81.1362
21OHIO_WQX-303652,38.581354,-82.376985
21OHIO_WQX-W03P30,39.2414,-82.4536
21OHIO_WQX-303566,38.6483,-82.382
21OHIO_WQX-X03W04,38.7842,-83.6981
21OHIO_WQX-P11S32,41.6942,-83.4667
21OHIO_WQX-W03P07,39.1783,-82.315
21OHIO_WQX-W03P04,38.9531,-82.3656
21OHIO_WQX-600410,39.201583,-84.470862
21OHIO_WQX-303596,38.569159,-82.382093
21OHIO_WQX-300599,40.60506,-81.28986
21OHIO_WQX-W02K05,38.632449,-82.290585
21OHIO_WQX-W03W18,39.1156,-82.5156
21OHIO_WQX-W03W55,38.890946,-82.38048
21OHIO_WQX-302395,39.456453,-81.461442
21OHIO_WQX-303597,38.66011,-83.225298
21OHIO_WQX-W02S01,38.7378,-82.5197
21OHIO_WQX-301594,40.862557,-82.775703
21OHIO_WQX-301466,40.895379,-80.63122
21OHIO_WQX-P10K07,41.2619,-84.0367
21OHIO_WQX-K01W36,41.2944,-82.6122
21OHIO_WQX-R12P02,40.4056,-82.4997
21OHIO_WQX-H11K14,39.1797,-84.7481
21OHIO_WQX-P11S74,41.6614,-83.6097
21OHIO_WQX-500290,41.2538,-84.3896
21OHIO_WQX-X03W05,38.8528,-83.7483
21OHIO_WQX-303600,38.67867,-83.310233
21OHIO_WQX-W03W27,39.105,-82.5372
21OHIO_WQX-301746,39.32032,-82.41798
21OHIO_WQX-W03P35,39.383012,-82.418753
21OHIO_WQX-F01S19,41.245,-81.286
21OHIO_WQX-303599,38.66704,-83.346994
21OHIO_WQX-W03W33,39.3172,-82.3514
21OHIO_WQX-X04P03,38.7264,-83.1708
21OHIO_WQX-301747,39.37289,-82.39531
21OHIO_WQX-301389,41.76487,-80.57803
21OHIO_WQX-303628,40.408,-81.1027
21OHIO_WQX-200693,38.8133,-83.7406
21OHIO_WQX-V08S06,39.8297,-82.8167
21OHIO_WQX-K01K18,41.0428,-82.6683
21OHIO_WQX-V08W47,39.8292,-82.8208
21OHIO_WQX-303573,38.858917,-82.537027
21OHIO_WQX-V08Q01,39.8292,-82.8225
21OHIO_WQX-303647,38.506106,-82.401414
21OHIO_WQX-W03P32,39.304465,-82.322649
21OHIO_WQX-303280,41.785372,-81.135757
21OHIO_WQX-301641,41.6603,-83.5078
21OHIO_WQX-303665,38.662891,-82.296196
21OHIO_WQX-302952,38.806421,-83.623173
21OHIO_WQX-P06S07,41.2753,-84.515
21OHIO_WQX-W03W38,39.1722,-82.5203
21OHIO_WQX-K01P10,41.1053,-82.7292
21OHIO_WQX-W03S09,39.2081,-82.5419
21OHIO_WQX-W03W43,39.3803,-82.3978
21OHIO_WQX-609410,39.4778,-81.2944
21OHIO_WQX-P11K32,41.4172,-83.8506
21OHIO_WQX-303656,38.602839,-82.313589
21OHIO_WQX-609150,38.457089,-82.404264
21OHIO_WQX-W03W07,39.2456,-82.4654
21OHIO_WQX-301407,40.944043,-80.641385
21OHIO_WQX-303471,41.216183,-82.765103
21OHIO_WQX-201845,41.4486,-83.7844
21OHIO_WQX-601260,40.2481,-83.1736
21OHIO_WQX-303676,38.506293,-82.392535
21OHIO_WQX-303612,38.69188,-83.614455
21OHIO_WQX-K01P11,41.0794,-82.7233
21OHIO_WQX-303549,38.6622,-82.4906
21OHIO_WQX-303544,38.485602,-82.461746
21OHIO_WQX-W03P10,39.1356,-82.5211
21OHIO_WQX-W03W06,39.2467,-82.4602
21OHIO_WQX-303645,38.513127,-82.308486
21OHIO_WQX-W03S06,39.0106,-82.4522
21OHIO_WQX-303605,38.6742,-83.382597
21OHIO_WQX-303472,41.242,-82.701
21OHIO_WQX-203966,39.333708,-82.331951
21OHIO_WQX-610040,39.9642,-83.8317
21OHIO_WQX-F01W85,41.1506,-81.3622
21OHIO_WQX-F01S02,41.1378,-81.3906
21OHIO_WQX-303717,39.4567,-81.462248
21OHIO_WQX-303540,38.439714,-82.465202
21OHIO_WQX-H11S26,39.1831,-84.7928
21OHIO_WQX-R08W05,40.4456,-81.1969
21OHIO_WQX-W03K40,39.3556,-82.4589
