,site_no,latitude,longitude
117,4175748,41.8579611,-84.1596944
118,4175748,41.8579611,-84.1596944
119,4175748,41.8579611,-84.1596944
120,4175748,41.8579611,-84.1596944
121,4175748,41.8579611,-84.1596944
122,4175748,41.8579611,-84.1596944
123,4175748,41.8579611,-84.1596944
124,4175748,41.8579611,-84.1596944
125,4175748,41.8579611,-84.1596944
126,4175748,41.8579611,-84.1596944
127,4175748,41.8579611,-84.1596944
128,4175748,41.8579611,-84.1596944
129,4175748,41.8579611,-84.1596944
130,4175748,41.8579611,-84.1596944
131,4175748,41.8579611,-84.1596944
132,4175748,41.8579611,-84.1596944
133,4175748,41.8579611,-84.1596944
134,4175748,41.8579611,-84.1596944
135,4175748,41.8579611,-84.1596944
136,4175748,41.8579611,-84.1596944
137,4175748,41.8579611,-84.1596944
138,4175748,41.8579611,-84.1596944
139,4175748,41.8579611,-84.1596944
140,4175748,41.8579611,-84.1596944
141,4175748,41.8579611,-84.1596944
142,4175748,41.8579611,-84.1596944
143,4175748,41.8579611,-84.1596944
144,4175748,41.8579611,-84.1596944
145,4175748,41.8579611,-84.1596944
146,4175748,41.8579611,-84.1596944
147,4175748,41.8579611,-84.1596944
148,4175748,41.8579611,-84.1596944
149,4175748,41.8579611,-84.1596944
150,4175748,41.8579611,-84.1596944
151,4175748,41.8579611,-84.1596944
152,4175748,41.8579611,-84.1596944
153,4175748,41.8579611,-84.1596944
154,4175748,41.8579611,-84.1596944
155,4175748,41.8579611,-84.1596944
156,4175748,41.8579611,-84.1596944
157,4175748,41.8579611,-84.1596944
158,4175748,41.8579611,-84.1596944
159,4175748,41.8579611,-84.1596944
160,4175748,41.8579611,-84.1596944
161,4175748,41.8579611,-84.1596944
162,4175748,41.8579611,-84.1596944
163,4175748,41.8579611,-84.1596944
164,4175748,41.8579611,-84.1596944
165,4175748,41.8579611,-84.1596944
166,4175748,41.8579611,-84.1596944
167,4175748,41.8579611,-84.1596944
168,4175748,41.8579611,-84.1596944
169,4175748,41.8579611,-84.1596944
170,4175748,41.8579611,-84.1596944
171,4175748,41.8579611,-84.1596944
172,4175748,41.8579611,-84.1596944
173,4175748,41.8579611,-84.1596944
174,4175748,41.8579611,-84.1596944
175,4175748,41.8579611,-84.1596944
176,4175748,41.8579611,-84.1596944
177,4175748,41.8579611,-84.1596944
178,4175748,41.8579611,-84.1596944
179,4175748,41.8579611,-84.1596944
180,4175748,41.8579611,-84.1596944
181,4175748,41.8579611,-84.1596944
182,4175748,41.8579611,-84.1596944
183,4175748,41.8579611,-84.1596944
184,4175748,41.8579611,-84.1596944
185,4175748,41.8579611,-84.1596944
186,4175748,41.8579611,-84.1596944
187,4175748,41.8579611,-84.1596944
188,4175748,41.8579611,-84.1596944
189,4175748,41.8579611,-84.1596944
190,4175748,41.8579611,-84.1596944
191,4175748,41.8579611,-84.1596944
192,4175748,41.8579611,-84.1596944
193,4175748,41.8579611,-84.1596944
194,4175748,41.8579611,-84.1596944
195,4175748,41.8579611,-84.1596944
196,4175748,41.8579611,-84.1596944
197,4175748,41.8579611,-84.1596944
198,4175748,41.8579611,-84.1596944
199,4175748,41.8579611,-84.1596944
200,4175748,41.8579611,-84.1596944
201,4175748,41.8579611,-84.1596944
202,4175748,41.8579611,-84.1596944
203,4175748,41.8579611,-84.1596944
204,4175748,41.8579611,-84.1596944
205,4175748,41.8579611,-84.1596944
206,4175748,41.8579611,-84.1596944
207,4175748,41.8579611,-84.1596944
208,4175748,41.8579611,-84.1596944
209,4175748,41.8579611,-84.1596944
210,4175748,41.8579611,-84.1596944
211,4175748,41.8579611,-84.1596944
212,4175748,41.8579611,-84.1596944
213,4175748,41.8579611,-84.1596944
214,4175748,41.8579611,-84.1596944
215,4175748,41.8579611,-84.1596944
216,4175748,41.8579611,-84.1596944
217,4175748,41.8579611,-84.1596944
218,4175748,41.8579611,-84.1596944
219,4175748,41.8579611,-84.1596944
220,4175748,41.8579611,-84.1596944
221,4175748,41.8579611,-84.1596944
222,4175748,41.8579611,-84.1596944
223,4175748,41.8579611,-84.1596944
224,4175748,41.8579611,-84.1596944
225,4175748,41.8579611,-84.1596944
226,4175748,41.8579611,-84.1596944
227,4175748,41.8579611,-84.1596944
228,4175748,41.8579611,-84.1596944
229,4175748,41.8579611,-84.1596944
230,4175748,41.8579611,-84.1596944
231,4175748,41.8579611,-84.1596944
232,4175748,41.8579611,-84.1596944
